Frequency NON_00 NON_01 NON_11 IBD_00 IBD_01 IBD_11
0.554 0.20393166 0.48180267 0.31426567 0.46458036 0.01236911 0.52305052
0.556 0.20188868 0.48282800 0.31528332 0.46407268 0.01266454 0.52326278
0.558 0.20057183 0.48142663 0.31800153 0.46129394 0.01333323 0.52537282
0.560 0.19925499 0.48002526 0.32071975 0.45851521 0.01400193 0.52748286
0.562 0.19793815 0.47862389 0.32343796 0.45573647 0.01467062 0.52959290
0.564 0.19662131 0.47722252 0.32615617 0.45295774 0.01533932 0.53170294
0.566 0.19517106 0.47445301 0.33037594 0.44878236 0.01545089 0.53576675
0.568 0.19358740 0.47031535 0.33609725 0.44321034 0.01500532 0.54178433
0.570 0.19200375 0.46617768 0.34181856 0.43763832 0.01455976 0.54780192
0.572 0.19042010 0.46204002 0.34753988 0.43206630 0.01411420 0.55381950
0.574 0.18883645 0.45790236 0.35326119 0.42649429 0.01366863 0.55983708
0.576 0.18721810 0.45606411 0.35671779 0.42272531 0.01321032 0.56406437
0.578 0.18556506 0.45652527 0.35790966 0.42075937 0.01273926 0.56650137
0.580 0.18391203 0.45698644 0.35910154 0.41879343 0.01226820 0.56893837
0.582 0.18225899 0.45744760 0.36029341 0.41682750 0.01179713 0.57137537
0.584 0.18060596 0.45790876 0.36148528 0.41486156 0.01132607 0.57381237
0.586 0.17894276 0.45738829 0.36366895 0.41299263 0.01130038 0.57570698
0.588 0.17726939 0.45588620 0.36684441 0.41122071 0.01172007 0.57705922
0.590 0.17559602 0.45438411 0.37001987 0.40944879 0.01213976 0.57841145
0.592 0.17392265 0.45288202 0.37319533 0.40767687 0.01255945 0.57976368
0.594 0.17224928 0.45137993 0.37637079 0.40590495 0.01297913 0.58111591
0.596 0.17038358 0.45059201 0.37902441 0.40460672 0.01302462 0.58236866
0.598 0.16832555 0.45051827 0.38115619 0.40378219 0.01269590 0.58352191
0.600 0.16626751 0.45044452 0.38328797 0.40295765 0.01236718 0.58467517
0.602 0.16420947 0.45037078 0.38541975 0.40213311 0.01203847 0.58582842
0.604 0.16215144 0.45029703 0.38755153 0.40130857 0.01170975 0.58698168
0.606 0.16048205 0.44942328 0.39009467 0.40045101 0.01170613 0.58784286
0.608 0.15920130 0.44774951 0.39304918 0.39956042 0.01202761 0.58841197
0.610 0.15792056 0.44607575 0.39600369 0.39866984 0.01234908 0.58898108
0.612 0.15663981 0.44440199 0.39895820 0.39777925 0.01267056 0.58955019
0.614 0.15535907 0.44272822 0.40191271 0.39688867 0.01299204 0.59011930
0.616 0.15425915 0.44105324 0.40468761 0.39498156 0.01308893 0.59192951
0.618 0.15334007 0.43937705 0.40728289 0.39205793 0.01296124 0.59498083
0.620 0.15242098 0.43770086 0.40987816 0.38913430 0.01283355 0.59803216
0.622 0.15150189 0.43602466 0.41247344 0.38621066 0.01270585 0.60108348
0.624 0.15058281 0.43434847 0.41506872 0.38328703 0.01257816 0.60413480
0.626 0.14875910 0.43451263 0.41672826 0.38193581 0.01257908 0.60548512
0.628 0.14603078 0.43651716 0.41745206 0.38215698 0.01270860 0.60513442
0.630 0.14330245 0.43852169 0.41817586 0.38237816 0.01283812 0.60478372
0.632 0.14057413 0.44052621 0.41889966 0.38259934 0.01296764 0.60443302
0.634 0.13784580 0.44253074 0.41962346 0.38282051 0.01309717 0.60408232
0.636 0.13602820 0.44183978 0.42213203 0.38121984 0.01302168 0.60575848
0.638 0.13512131 0.43845333 0.42642536 0.37779730 0.01274119 0.60946151
0.640 0.13421442 0.43506688 0.43071869 0.37437476 0.01246070 0.61316453
0.642 0.13330754 0.43168043 0.43501203 0.37095223 0.01218021 0.61686756
0.644 0.13240065 0.42829399 0.43930536 0.36752969 0.01189973 0.62057059
0.646 0.13115273 0.42580209 0.44304517 0.36401769 0.01177573 0.62420659
0.648 0.12956378 0.42420476 0.44623146 0.36041621 0.01180822 0.62777557
